ISO 639-3,Language,Filename,WALS 116A,WALS 116A: Pages,WALS 116A: PDF Pages,GB 107,GB 107: Pages,GB 107: PDF Pages,WALS 81A,WALS 81A: Pages,WALS 81A: PDF Pages,Title,Family,Subfamily,Genus,Macroarea,Author,Year,Pages,Type
mal,Malayalam,syamala1981intensive,Interrogative verb morphology,60-61,90-91,1,326,356,Not mentioned in the grammar,,,An intensive course in Malayalam,Dravidian,,Dravidian,Eurasia,"Kumari, B. Syamala",1981,933,grammar
ium,Iu Mien,arisawa2016iu,Clause-final question particle,664,700,0,648-651,684-687,No dominant order,"3-4, 224-225","39-40, 260-261",An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation,Hmong-Mien,,Mienic,Eurasia,"Arisawa, Tatsuro Daniel",2016,924,grammar
sza,Semelai,kruspe2004grammar,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle, Interrogative intonation only",325-326,353-354,0,316-320,344-348,No dominant order,5,33,Semelai,Austro-Asiatic,Mon-Khmer,Aslian,Eurasia,"Kruspe, Nicole D.",1999,755,grammar
yux,Yukaghir (Kolyma),maslova2003grammar,Interrogative intonation only,475,495,1,491-492,511-512,SOV,"9, 341-342","29, 361-362",A grammar of Kolyma Yukaghir,Yukaghir,,Yukaghir,Eurasia,"Maslova, Elena",1999,726,grammar
kat,Georgian,hewitt1995georgian,Interrogative intonation only,565,584,0,571,590,No dominant order,528,547,Georgian: A Structural Reference Grammar,Kartvelian,,Kartvelian,Eurasia,"Hewitt, George B.",1995,726,grammar
alr,Alutor,kibrik2004language,Not mentioned in the grammar,,,1,64-67,64-67,No dominant order,123,123,Language and folklore of the Alutor people,Chukotko-Kamchatkan,,Northern Chukotko-Kamchatkan,Eurasia,"Kibrik, Aleksandr E. and Kodzasov, Sandro V. and Muravyova, Irina A.",2004,687,grammar_sketch;text;dictionary
tha,Thai,campbell1957fundamentals,Clause-final question particle,86-88,101-103,0,"16, 73-74","31, 88-89",SVO,3,18,The fundamentals of the Thai language,Tai-Kadai,,Kam-Tai,Eurasia,"Campbell, Stuart and Shaweevongse, Chaun",1957,632,grammar
nio,Nganasan,wagner2018grammar,"Interrogative intonation only, Interrogative verb morphology","247, 379-380","266, 398-399",0,405,424,SOV,388,407,A grammar of Nganasan,Uralic,,Samoyedic,Eurasia,"Wagner-Nagy, Beáta Boglárka",2019,602,grammar
niv,Nivkh (South Sakhalin),vajda2006mattissen,Clause-final question particle,113,124,1,24-25,35-36,SOV,101,112,Dependent-Head Synthesis in Nivkh: A contribution to a typology of polysynthesis,Nivkh,,Nivkh,Eurasia,"Mattissen, Johanna",2003,360,grammar
anq,Jarawa (in Andamans),kumar2012descriptive,Clause-initial question particle,170-172,188,1,163-166,181-184,SOV,204,222,Descriptive and typological study of Jarawa,South Andamanese,,South Andamanese,Eurasia,"Kumar, Pramod",2012,357,grammar
nll,Nahali,nagaraja2014nihali,Not mentioned in the grammar,,,1,75-82,86-93,SOV,108,119,"The Nihali Language (Grammar, Texts, Vocabulary)",Nahali,,Nahali,Eurasia,"Nagaraja, K. S.",2014,344,grammar
kgg,Kusunda,watters2006notes,Not mentioned in the grammar,,,1,72,72,SOV,21,21,Notes on Kusunda Grammar: A Language Isolate of Nepal,Kusunda,,Kusunda,Eurasia,"Watters, David E.",2006,182,grammar
ude,Udihe,nikolaeva2001grammar,Interrogative intonation only,807,843,0,"214, 818-838","248, 854-874",SOV,840,876,A Grammar of Udihe,Altaic,,Tungusic,Eurasia,"Nikolaeva, Irina and Tolskaya, Maria",2001,1002,grammar
inh,Ingush,nichols2011ingush,Interrogative verb morphology,709,733,1,693,716,No dominant order,673,696,Ingush Grammar,Nakh-Daghestanian,,Nakh,Eurasia,"Nichols, Johanna",2011,824,grammar
lez,Lezgian,haspelmath1993grammar,"Clause-initial question particle, Interrogative verb morphology","417-420, 429","437-440, 449",1,133,153,SOV,"5, 298","25, 318",A Grammar of Lezgian,Nakh-Daghestanian,Daghestanian,Lezgic,Eurasia,"Haspelmath, Martin",1993,587,grammar
adl,Galo,post2007grammar,"Clause-final question particle, Clause-medial question particle",651-655,651-655,1,570,570,SOV,690,690,A Grammar of Galo,Sino-Tibetan,Tibeto-Burman,Tani,Eurasia,"Post, Mark",2007,947,grammar
esu,Yup'ik (Norton Sound),miyaoka2012grammar,"Interrogative intonation only, Second position question particle",168-170,220-222,1,1272-1285,1324-1337,SOV,179-181,231-233,A grammar of Central Alaskan Yupik: An Eskimo Language,Eskimo-Aleut,,Eskimo,North America,"Miyaoka, Osahito",2012,1709,grammar
yuk,Yuki,balodis2011yuki,Interrogative verb morphology,405-406,433-434,1,268-269,296-297,No dominant order,393-397,421-425,Yuki Grammar in its Areal Context with sketches of Huchnom and Coast Yuki,Wappo-Yukian,,Yuki,North America,"Balodis, Uldis Ivars Jānis",2011,1053,grammar;text
ppl,Pipil,campbell1985pipil,Interrogative intonation only,114,128,0,941,957,No dominant order,101-109,115-123,The Pipil Language of El Salvador,Uto-Aztecan,,Aztecan,North America,"Campbell, Lyle",1985,971,grammar
mic,Micmac,fidelholtz1968micmac,Not mentioned in the grammar,,,1,192-193,192-193,VOS,251-252,251-252,Micmac morphophonemics,Algic,,Algonquian,North America,"Fidelholtz, James L.",1968,808,grammar_sketch;specific_feature
tee,Tepehua (Huehuetla),kung2007descriptive,"Clause-initial question particle, Interrogative intonation only",564-567,589-592,0,578-584,603-609,No dominant order,541,566,A Descriptive Grammar of Huehuetla Tepehua,Totonacan,,Totonacan,North America,"Kung, Susan Smythe",2007,750,grammar
hur,Musqueam,galloway1977grammar,"Clause-medial question particle, Interrogative verb morphology",482-484,506-508,0,151-153,175-177,VSO,"139, 149","163, 173",A Grammar of Chilliwack Halkomelem,Salishan,,Central Salish,North America,"Galloway, Brent Douglas",1977,722,grammar
oma,Omaha,awakuni2018omaha,Clause-final question particle,328,399,1,331 (ablaut),402,SOV,247,318,The Omaha Language and the Omaha Way: An Introduction to Omaha Language and Culture,Siouan,,Mississippi Valley Siouan,North America,"Awakuni-Swetland, Mark and Canby, Alberta Grant and Sanchez, Emmaline Walker and Larson, Rory and Walker, Arlene and Black, Delores and Krug, Aubrey Streit and Frerichs, Loren H.",2018,707,grammar
was,Washo,jacobsen1964grammar,Interrogative verb morphology,"598, 638","616, 656",1,621,639,SOV,"399-400, 455","417-418, 473",A Grammar of the Washo Language,Washo,,Washo,North America,"Jacobsen and Jr. and H., William",1964,701,grammar
cku,Koasati,kimball1991koasati,Interrogative verb morphology,229-232,249-252,1,196-198,216-218,SOV,513,533,Koasati Grammar,Muskogean,,Muskogean,North America,"Kimball, Geoffrey D.",1991,666,grammar
boi,Chumash (Barbareño),wash2001adverbial,Not mentioned in the grammar,,,1,49,71,VOS,69,91,Adverbial Clauses in Barbareño Chumash Narrative Discourse,Chumash,,Chumash,North America,"Wash, Suzanne Maria",2001,591,grammar_sketch
yuc,Yuchi,linn2001grammar,"Clause-initial question particle, Interrogative intonation only, Second position question particle","456, 466-467","478, 488-489",1,480,502,SOV,449,471,A grammar of Euchee (Yuchi),Yuchi,,Yuchi,North America,"Linn, Mary Sarah",2001,564,grammar
aes,Alsea,frachtenberg1918alsea,Interrogative verb morphology,338,343,0,47,58,Not mentioned in the grammar,,,Alsea Grammar,Oregon Coast,,Alsea,North America,"Frachtenberg, Leo Joachim",1918,431,grammar
ari,Arikara,parks1979introduction,Interrogative verb morphology,"250, 403","235, 383",1,143-144,132-133,No dominant order,68,76,An introduction to the Arikara language,Caddoan,,Northern Caddoan,North America,"Parks, Douglas and Beltran, Janet and Waters, Ella",1979,422,grammar
tkm,Takelma,sapir1912takelma,Second position question particle,"16, 277","22, 283",0,199-201,205-207,Not mentioned in the grammar,,,The Takelma Language of Southwestern Oregon,Takelma,,Takelma,North America,"Sapir, Edward",1909,304,grammar
tow,Jemez,yumitani1998phonology,Second position question particle,141-145,158-162,1,"147, 188","164, 205",Not mentioned in the grammar,,,A Phonology and Morphology of Jemez Towa,Kiowa-Tanoan,,Kiowa-Tanoan,North America,"Yumitani, Yukihiro",1998,298,grammar
zun,Zuni,nichols1997topics,Not mentioned in the grammar,,,1,"11, 22, 25","25, 36, 39",SOV,6,20,Topics in Zuni Syntax,Zuni,,Zuni,North America,"Nichols, Lynn",1997,289,grammar
rma,Rama,grinevald1990grammar,Not mentioned in the grammar,,,1,185,193,SOV,"33, 115","41, 123",A Grammar of Rama,Chibchan,,Rama,North America,"Grinevald, Colette G.",no date,284,grammar
tqw,Tonkawa,hoijer1933tonkawa,Interrogative verb morphology,89,99,1,82,92,SOV,26,36,Tonkawa,Tonkawa,,Tonkawa,North America,"Hoijer, Harry",1933-1938,148,grammar
tun,Tunica,haas1940tunica,Interrogative verb morphology,118,117,1,54-55,53-54,SOV,98-99,97-98,Tunica,Tunica,,Tunica,North America,"Haas, Mary R.",1941,143,grammar
wao,Wappo,radin1929grammar,Not mentioned in the grammar,,,1,"35, 139, 149","44, 148, 158",Not mentioned in the grammar,,,A Grammar of the Wappo Language,Wappo-Yukian,,Wappo,North America,"Radin, Paul",1929,202,grammar
ute,Ute,sapir1992southern,Clause-medial question particle,"110, 116","110, 116",1,271,271,Not mentioned in the grammar,,,Southern Paiute and Ute Linguistics and Ethnography,Uto-Aztecan,,Northern Uto-Aztecan,North America,"Sapir, Edward",1992 [1930],932,grammar;text;dictionary
yur,Yurok,garrett2014basic,"Clause-final question particle, Clause-medial question particle, Second position question particle","92, 94","123, 125",0,79-84,110-115,No dominant order,89-90,120-121,Basic Yurok grammar,Algic,,Yurok,North America,"Garrett, Andrew",2014,341,grammar
nuk,Nuuchahnulth,davidson2002studies,Interrogative verb morphology,287-288,303-304,1,155-156,171-172,No dominant order,109-110,125-126,Studies in Wakashan (Nootkan) Grammar,Wakashan,,Southern Wakashan,North America,"Davidson, Matthew",2002,488,grammar
col,Columbia-Wenatchi,willett2003grammatical,"Clause-final question particle, Clause-initial question particle",324-325 (Grambank: overlooked clause-final position),337-338,0,322,335,VOS,94-95,107-108,A Grammatical Sketch of Nxa'amxcin (Moses-Columbia Salish),Salishan,,Interior Salish,North America,"Willett, Marie Louise",2003,476,grammar
hid,Hidatsa,park2012grammar,Interrogative verb morphology,239-240,262-263,1,198,221,SOV,378,401,A grammar of Hidatsa,Siouan,,Missouri River Siouan,North America,"Park, Indrek",2012,580,grammar
mlu,Toqabaqita,lichtenberk2008grammar,Interrogative intonation only,791,844,0,734,787,SVO,43-44,72-73,A grammar of Toqabaqita,Austronesian,Eastern Malayo-Polynesian,Oceanic,Papunesia,"Lichtenberk, Frantisek",2008,1408,grammar
ahh,Aghu,van2016aghu,Clause-final question particle,"124, 298","142, 316",1,117,135,SOV,275-278,293-296,Aghu: annotated texts with grammatical introduction and vocabulary lists,Trans-New Guinea,Awyu-Ok,Awju,Papunesia,"van den Heuvel, Wilco",2016,859,grammar;text;dictionary
mle,Manambu,aikhenvald2008manambu,Interrogative intonation only,"224, 530","251, 557",1,"250-253, 298-300",277-280,SOV,535,562,"The Manambu language of East Sepik, Papua New Guinea",Sepik,,Ndu,Papunesia,"Aikhenvald, Alexandra Y.",2008,727,grammar
fqs,Momu,honeyman2016grammar,Clause-final question particle,349-352,377-380,1,413-414,441-442,SOV,28,56,"A grammar of Momu, a language of Papua New Guinea",Baibai-Fas,,Baibai-Fas,Papunesia,"Honeyman, Thomas",2017,700,grammar
mkz,Makasae,huber2011grammar,"Clause-final question particle, Interrogative intonation only",438-442,463-467,0,366-367,391-392,SOV,"24, 26","49, 51",A grammar of Makalero: A Papuan language of East Timor,Greater West Bomberai,Timor-Alor-Pantar,East Timor,Papunesia,"Huber, Juliette",2011,700,grammar
siw,Motuna,onishi1994grammar,Interrogative intonation only,33-35,62-64,0,285,314,No dominant order,60-61,89-90,"A Grammar of Motuna (Bougainville, Papua New Guinea)",South Bougainville,,South Bougainville,Papunesia,"Onishi, Masayuki",2011,593,grammar
lvk,Lavukaleve,terrill1999grammar,"Clause-final question particle, Clause-medial question particle",408-409,434-435,1,460,486,SOV,13,39,A Grammar of Lavukaleve,Solomons East Papuan,,Lavukaleve,Papunesia,"Terrill, Angela",2003,585,grammar
kbv,Dla (Menggwa),de2006menggwa,"Clause-final question particle, Interrogative intonation only",363-366,377-380,1,138-139,152-153,No dominant order,259,273,The Menggwa Dla language of New Guinea,Senagi,,Senagi,Papunesia,"de Sousa, Hilário",2006,569,grammar
duc,Duna,san2008introduction,Not mentioned in the grammar,,,1,301,330,SOV,107-109,136-138,An introduction to Duna grammar,Duna-Bogaya,,Duna,Papunesia,"San Roque, Lila",2008,528,grammar
tuh,Taulil,meng2018grammar,Interrogative intonation only,27-31,59-63,0,255,287,SVO,63,95,A grammar of Tulil,Taulil,,Taulil,Papunesia,"Meng, Chenxi",2018,516,grammar
gpn,Taiap,kulick2019grammar,"Clause-final question particle, Clause-medial question particle",96-97,116-117,0,138-144,158-164,SOV,250-251,270-271,A Grammar and Dictionary of Tayap: The Life and Death of a Papuan Language,Taiap,,Taiap,Papunesia,"Kulick, Don and Terrill, Angela",2019,516,grammar;dictionary
yee,Yimas,foley1991yimas,"Clause-final question particle, Interrogative intonation only",268-269,284-285,1,251,267,No dominant order,4,20,The Yimas Language of New Guinea,Ramu-Lower Sepik,,Lower Sepik,Papunesia,"Foley, William A.",1991,506,grammar
kcd,Kanum (Ngkâlmpw),carroll2016ngkolmpu,Not mentioned in the grammar,,,0,"passim: 124, 362, 377, 384, 387","152, 390, 405, 412, 415",No dominant order,132 // pragmatically neutral (if it is even a thing),160,The Ngkolmpu Language with special reference to distributed exponence,Yam,,Kanum,Papunesia,"Carroll, Matthew",2017,428,grammar
ayz,Maybrat,dol2007grammar,Clause-final question particle,177-179,195-197,0,167-174 (error in Grambank?),185-192,SVO,143,161,"A Grammar of Maybrat: a language of Bird's Head, Irian Jaya, Indonesia",Maybrat,,Maybrat,Papunesia,"Dol, Philomena Hedwig",1999,405,grammar
cns,Asmat,voorhoeve1965flamingo,Clause-final question particle,"92, 106-108, 173","104, 118-120, 185",0,165-168,177-180,Not mentioned in the grammar,,,The Flamingo Bay Dialect of the Asmat Language,Asmat-Kamrau Bay,,Asmat-Kamrau Bay,Papunesia,"Voorhoeve, Clemens L.",1965,367,grammar;text
kto,Kuot,lindstrom2002topics,Interrogative intonation only,14,35,0,10-11,31-32,VSO,22,43,Topics in the Grammar of Kuot,Kuot,,Kuot,Papunesia,"Lindström, Eva",2002,264,grammar
imn,Imonda,seiler1985imonda,"Clause-final question particle, Clause-initial question particle, Clause-medial question particle",174,180,1,170-173,176-179,No dominant order,179,185,"Imonda, a Papuan Language",Border,,Border,Papunesia,"Seiler, Walter",1985,262,grammar
nir,Nimboran,anceaux1965nimboran,Not mentioned in the grammar,,,0,Not mentioned in the grammar,,Not mentioned in the grammar,,,The Nimboran Language,Nimboran,,Nimboran,Papunesia,"Anceaux, Johannes Cornelis",1965,257,grammar
kgr,Abun,berry1999description,"Clause-final question particle, Clause-initial question particle",46,58,0,132-145,144-157,SVO,4,16,A description of Abun: a West Papuan language of Irian Jaya,Abun,,Abun,Papunesia,"Berry, Keith and Berry, Christine",1999,248,grammar
ulk,Meryam Mir,piper1989sketch,Interrogative intonation only,192,203,0,195,206,SOV,183,194,A Sketch Grammar of Meryam Mer,Eastern Trans-Fly,,Eastern Trans-Fly,Papunesia,"Piper, Nick",2013 [1989],240,grammar_sketch
had,Hatam,reesink1999grammar,"Clause-final question particle, Interrogative intonation only",68 (one of the clause-final markers is for leading questions),84,0,96-97,112-113,SVO,"78, 89","94, 105",A Grammar of Hatam: Bird's Head Peninsula Irian Jaya,Hatim-Mansim,,Hatim-Mansim,Papunesia,"Reesink, Ger P.",1999,230,grammar
kwo,Kwomtari,honsberger2008kwomtari,"Clause-final question particle, Clause-medial question particle",168,178,1,107,117,SOV,14,24,Kwomtari Phonology and Grammar Essentials,Kwomtari,,Kwomtari,Papunesia,"Honsberger, Murray and Honsberger, Carol and Tupper, Ian",2008,197,grammar
szp,Inanwatan,de2004short,"Clause-final question particle, Interrogative intonation only",49-50,62-63,1,39-40 (error in Grambank?),52-53,No dominant order,52-53,65-66,"A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",South Bird's Head,,Inanwatan,Papunesia,"de Vries, Lourens J.",2004,168,grammar_sketch
tmu,Iau,bateman2003grammatical,"Clause-final question particle, Tone",110-111,110-111,0,38-39,38-39,No dominant order,92,92,Grammatical Overview of Iau Revision 3,Lakes Plain,,Central Tariku,Papunesia,"Bateman, Janet",2021,136,grammar_sketch
